series,court,surface,round,bestof,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,anho
ATP500,Outdoor,Hard,1st Round,3,Fognini F.,Klizan M.,28,42,1300,1015,6,2,6,1,,,,,,,2,0,2015
ATP500,Outdoor,Hard,1st Round,3,Rosol L.,Bedene A.,79,54,632,837,1,6,7,6,6,3,,,,,2,1,2015
ATP500,Outdoor,Hard,1st Round,3,Zhang Ze,Istomin D.,219,70,230,706,6,3,1,6,6,3,,,,,2,1,2015
ATP500,Outdoor,Hard,1st Round,3,Sock J.,Gabashvili T.,30,56,1210,822,6,4,6,3,,,,,,,2,0,2015
ATP500,Outdoor,Hard,1st Round,3,Troicki V.,Raonic M.,24,9,1494,2740,6,4,6,4,,,,,,,2,0,2015
ATP500,Outdoor,Hard,1st Round,3,Lu Y.H.,Mannarino A.,100,39,539,1050,6,3,6,2,,,,,,,2,0,2015
ATP500,Outdoor,Hard,1st Round,3,Pospisil V.,Estrella Burgos V.,44,68,995,717,4,6,7,5,6,0,,,,,2,1,2015
ATP500,Outdoor,Hard,1st Round,3,Nadal R.,Wu D.,8,230,3770,216,6,4,6,4,,,,,,,2,0,2015
ATP500,Outdoor,Hard,1st Round,3,Millman J.,Robredo T.,76,29,656,1255,4,6,6,1,6,0,,,,,2,1,2015
ATP500,Outdoor,Hard,1st Round,3,Djokovic N.,Bolelli S.,1,59,15645,790,6,1,6,1,,,,,,,2,0,2015
ATP500,Outdoor,Hard,1st Round,3,Ferrer D.,Bellucci T.,7,31,3945,1205,6,4,6,3,,,,,,,2,0,2015
ATP500,Outdoor,Hard,1st Round,3,Isner J.,Thiem D.,13,19,2280,1600,7,5,6,1,,,,,,,2,0,2015
ATP500,Outdoor,Hard,1st Round,3,Cuevas P.,Berdych T.,37,5,1100,4900,6,4,6,4,,,,,,,2,0,2015
ATP500,Outdoor,Hard,1st Round,3,Karlovic I.,Garcia-Lopez G.,18,26,1620,1430,7,5,7,6,,,,,,,2,0,2015
ATP500,Outdoor,Hard,2nd Round,3,Lu Y.H.,Troicki V.,100,24,539,1494,6,4,7,5,,,,,,,2,0,2015
ATP500,Outdoor,Hard,2nd Round,3,Sock J.,Haider-Maurer A.,30,64,1210,760,6,3,6,1,,,,,,,2,0,2015
ATP500,Outdoor,Hard,2nd Round,3,Ferrer D.,Rosol L.,7,79,3945,632,7,6,6,2,,,,,,,2,0,2015
ATP500,Outdoor,Hard,2nd Round,3,Nadal R.,Pospisil V.,8,44,3770,995,7,6,6,4,,,,,,,2,0,2015
ATP500,Outdoor,Hard,2nd Round,3,Cuevas P.,Karlovic I.,37,18,1100,1620,7,6,7,6,,,,,,,2,0,2015
ATP500,Outdoor,Hard,2nd Round,3,Fognini F.,Goffin D.,28,17,1300,1970,6,2,2,6,6,2,,,,,2,1,2015
ATP500,Outdoor,Hard,2nd Round,3,Djokovic N.,Zhang Ze,1,219,15645,230,6,2,6,1,,,,,,,2,0,2015
ATP500,Outdoor,Hard,2nd Round,3,Isner J.,Millman J.,13,76,2280,656,4,6,7,6,6,4,,,,,2,1,2015
ATP500,Outdoor,Hard,Quarterfinals,3,Nadal R.,Sock J.,8,30,3770,1210,3,6,6,4,6,3,,,,,2,1,2015
ATP500,Outdoor,Hard,Quarterfinals,3,Fognini F.,Cuevas P.,28,37,1300,1100,6,1,2,6,6,2,,,,,2,1,2015
ATP500,Outdoor,Hard,Quarterfinals,3,Ferrer D.,Lu Y.H.,7,100,3945,539,6,3,6,1,,,,,,,2,0,2015
